Age [ka BP]	Sea level [m NN] (Calculated)	Speleo_age
744	-67.3	740.852
745	-69.9	741.2167
746	-71.1	741.581
747	-73.8	741.9465
748	-73.7	743.4308
749	-74.3	744.9155
750	-74	746.3985
751	-68.3	747.6895
752	-65.7	748.9775
753	-65.1	750.2654
754	-63.7	751.555
755	-61.9	752.844
756	-59.2	754.1317
757	-58.7	755.4207
758	-57.4	756.7104
759	-50.8	758.0005
760	-50.8	759.2866
761	-49.2	760.577
762	-47.7	761.8648
763	-41.5	763.1531
764	-39.1	764.4426
765	-39.2	765.732
766	-36.2	767.022
767	-32.1	768.3095
768	-27.3	769.5861
769	-23.7	770.8785
770	-20.7	772.1791
771	-16.2	773.4669
772	-12.2	774.7524
773	-8	776.0417
774	-6.3	777.3302
775	-8.5	778.6253
776	-9.1	779.9125
777	-12.7	781.1981
778	-13.6	782.4723
779	-14.4	783.758
780	-12.9	785.0626
781	-15.2	786.3426
782	-20.8	787.647
783	-23.3	788.9386
784	-22.6	790.2285
785	-26.2	790.9045
786	-31.5	791.5815
787	-41.5	792.2575
788	-54.6	792.9345
789	-67.4	793.6115
790	-79.8	794.2875
791	-86.4	794.9635
792	-87.4	795.6405
793	-86.6	796.6452
794	-88.2	797.6498
795	-93.2	798.6545
796	-95.7	799.6591
797	-93.1	800.6638
798	-92.4	801.6684
